ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,WinnerWonFirstSet,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
57,Shanghai,Shanghai Masters,10/8/14,Masters 1000,Outdoor,Hard,2nd Round,3,Federer R.,Mayer L.,3,25,8170,1339,1,7,5,3,6,7,6,0,0,0,0,2,1,Completed,1.07,9,1.07,8,1.06,8,1.09,9.16,1.06,8.5,1.1,10,1.07,8.15
57,Shanghai,Shanghai Masters,10/9/14,Masters 1000,Outdoor,Hard,3rd Round,3,Federer R.,Bautista R.,3,18,8170,1865,1,6,4,6,2,0,0,0,0,0,0,2,0,Completed,1.14,5.5,1.16,5,1.17,5,1.19,5.54,1.15,5,1.2,5.75,1.17,4.96
57,Shanghai,Shanghai Masters,10/10/14,Masters 1000,Outdoor,Hard,Quarterfinals,3,Federer R.,Benneteau J.,3,30,8170,1205,1,7,6,6,0,0,0,0,0,0,0,2,0,Completed,1.16,5,1.16,5,1.17,5,1.21,5.13,1.17,5,1.21,5.5,1.18,4.78
57,Shanghai,Shanghai Masters,10/11/14,Masters 1000,Outdoor,Hard,Semifinals,3,Federer R.,Djokovic N.,3,1,8170,12150,1,6,4,6,4,0,0,0,0,0,0,2,0,Completed,3.4,1.33,3.2,1.33,3.25,1.36,3.45,1.37,3.25,1.33,3.6,1.4,3.24,1.34
57,Shanghai,Shanghai Masters,10/12/14,Masters 1000,Outdoor,Hard,The Final,3,Federer R.,Simon G.,3,29,8170,1220,1,7,6,7,6,0,0,0,0,0,0,2,0,Completed,1.25,4,1.22,4,1.25,4,1.26,4.47,1.25,4,1.27,4.6,1.24,4.03
61,Basel,Swiss Indoors,10/22/14,ATP500,Indoor,Hard,1st Round,3,Federer R.,Muller G.,2,51,9080,847,1,6,2,6,1,0,0,0,0,0,0,2,0,Completed,1.06,10,1.06,8.5,1.05,8.5,1.06,11.26,1.06,9.5,1.07,14.15,1.05,9.65
61,Basel,Swiss Indoors,10/23/14,ATP500,Indoor,Hard,2nd Round,3,Federer R.,Istomin D.,2,55,9080,825,0,3,6,6,3,6,4,0,0,0,0,2,1,Completed,1.03,15,1.05,9,1.04,9,1.05,13,1.02,12,1.05,15,1.04,11.11
61,Basel,Swiss Indoors,10/24/14,ATP500,Indoor,Hard,Quarterfinals,3,Federer R.,Dimitrov G.,2,11,9080,3645,1,7,6,6,2,0,0,0,0,0,0,2,0,Completed,1.22,4,1.22,4,1.25,3.75,1.27,4.27,1.25,4,1.27,4.4,1.24,3.91
61,Basel,Swiss Indoors,10/25/14,ATP500,Indoor,Hard,Semifinals,3,Federer R.,Karlovic I.,2,31,9080,1220,1,7,6,3,6,6,3,0,0,0,0,2,1,Completed,1.08,8,1.09,7,1.04,9,1.1,9.05,1.1,7.5,1.12,9.05,1.09,7.1
61,Basel,Swiss Indoors,10/26/14,ATP500,Indoor,Hard,The Final,3,Federer R.,Goffin D.,2,28,9080,1278,1,6,2,6,2,0,0,0,0,0,0,2,0,Completed,1.2,4.5,1.18,4.5,1.17,5,1.23,4.8,1.17,5,1.23,5.6,1.18,4.73
63,Paris,BNP Paribas Masters,10/29/14,Masters 1000,Indoor,Hard,2nd Round,3,Federer R.,Chardy J.,2,30,9280,1205,1,7,6,6,7,6,4,0,0,0,0,2,1,Completed,1.08,8,1.08,7.5,1.08,7,1.09,9.16,1.07,7.5,1.1,10,1.08,7.53
63,Paris,BNP Paribas Masters,10/30/14,Masters 1000,Indoor,Hard,3rd Round,3,Federer R.,Pouille L.,2,176,9280,290,1,6,4,6,4,0,0,0,0,0,0,2,0,Completed,1.06,10,1.06,8.5,1.05,8.5,1.07,11.52,1.06,9.5,1.08,11.75,1.06,9.13
